OID_,FieldName,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN,STD
1,19_A,1,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,12.203331530125595,0.125681535298786
2,19_AA,2,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,25.342077840468566,0.030966869011068
3,19_BB,3,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,25.424188910646169,0.046227349003508
4,19_E,4,3.000000000000000,3000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,10.055610989617868,0.098137439275709
5,19_F,5,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,12.884416626007688,0.109434286237820
6,19_J,6,6.000000000000000,6000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,11.927322800532094,0.170324195183621
7,19_K,7,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,12.411752595124442,0.119569544183073
8,19_M,8,6.000000000000000,6000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,26.353075969960294,0.474114113656253
9,19_N,9,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,27.438684720775825,0.318873426608422
10,19_O,10,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,25.089240962483967,0.232366998921642
11,19_P,11,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,13.597042119354805,0.195166576566933
12,19_T,12,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,23.808536200627145,0.072339132394223
13,19_V,13,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,23.687011231251098,0.046055911638308
14,19_W,14,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,17.915628817889456,0.019499301677554
15,19_X_A,15,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,18.084665565666008,0.069171246784617
16,19_X_B,16,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,19.416233621469942,0.150747762204064
17,19_Y,17,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,21.037555227220391,0.265959222999701
18,19_Z,18,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,12.062809571396974,0.168374752216655
