OID_,FieldName,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN,STD
1,19_A,1,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,85.741133625792457,0.174732216125212
2,19_AA,2,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,87.430198454037750,0.050526403079755
3,19_BB,3,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,87.574934829561244,0.031641417389631
4,19_E,4,3.000000000000000,3000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,86.731762688715691,0.012498267593977
5,19_F,5,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,86.090199161358854,0.087030466976852
6,19_J,6,6.000000000000000,6000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,86.995157538280068,0.027808858246159
7,19_K,7,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,85.152180858579044,0.079287512955252
8,19_M,8,6.000000000000000,6000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,83.429189027945185,0.084272590138994
9,19_N,9,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,83.547163415969649,0.063704506657418
10,19_O,10,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,88.779245860265462,0.086357964360665
11,19_P,11,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,87.516584179386584,0.063749911086465
12,19_T,12,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,84.392182930183438,0.117045476919353
13,19_V,13,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,84.661202524084914,0.073523573154951
14,19_W,14,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,89.563372522551830,0.018069245545556
15,19_X_A,15,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,88.888757981811878,0.086370874772262
16,19_X_B,16,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,88.933262993767826,0.023746949396051
17,19_Y,17,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,81.779638660666919,0.073348529324669
18,19_Z,18,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,87.028467884567263,0.073813807473492
19,19_A,1,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,79.019867575680834,0.256752418912620
20,19_AA,2,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,83.233561234381767,0.033702241174631
21,19_BB,3,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,83.275880471617128,0.027823953801285
22,19_E,4,3.000000000000000,3000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,80.900856227705162,0.029949859725558
23,19_F,5,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,81.655936437305655,0.075608462534761
24,19_J,6,6.000000000000000,6000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,80.641535639123802,0.045010943639923
25,19_K,7,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,81.825740054925674,0.102410002728712
26,19_M,8,6.000000000000000,6000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,79.467250475078060,0.083224335969558
27,19_N,9,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,79.591335895633890,0.062726487561272
28,19_O,10,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,81.933580311868880,0.118619698978132
29,19_P,11,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,82.568201556799579,0.059921927355338
30,19_T,12,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,81.977524053083002,0.085208214485673
31,19_V,13,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,82.192125056583194,0.050966371107375
