OID_,FieldName,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN,STD
1,19_A,1,4.000000000000000,4000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,64.855467149640361,0.432985288169377
2,19_AA,2,5.000000000000000,5000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,56.653537974559420,1.003354847789256
3,19_BB,3,4.000000000000000,4000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,52.196108856221180,1.083257636522977
4,19_E,4,3.000000000000000,3000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,49.555079608671797,1.938019625454163
5,19_F,5,5.000000000000000,5000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,74.713566192693591,1.785644440341221
6,19_J,6,6.000000000000000,6000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,93.254226635177247,2.063190142352918
7,19_K,7,4.000000000000000,4000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,39.282970291388402,0.236174660702988
8,19_M,8,6.000000000000000,6000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,51.075727335448796,1.633752773610259
9,19_N,9,4.000000000000000,4000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,53.944221569782371,1.027047931952877
10,19_O,10,4.000000000000000,4000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,68.948469193053015,2.640123677368775
11,19_P,11,5.000000000000000,5000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,52.628121954272380,1.283453740736304
12,19_T,12,5.000000000000000,5000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,35.596229539780964,0.777157093621253
13,19_V,13,4.000000000000000,4000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,36.674931036141821,0.680339236771417
14,19_W,14,4.000000000000000,4000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,62.427708400619608,1.147011267555266
15,19_X_A,15,4.000000000000000,4000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,82.030420864440558,3.949537416884121
16,19_X_B,16,4.000000000000000,4000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,108.291761620827003,5.591207975481236
17,19_Y,17,4.000000000000000,4000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,32.948615612852088,1.084366756017805
18,19_Z,18,5.000000000000000,5000000.000000000000000,rainfall,StdTime,01/01/2018 09:00:00,01/02/2018 09:00:00,94.386059698477879,2.191704826304225
