OID_,FieldName,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN,STD
1,19_A,1,4.000000000000000,4000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,54.905289323149738,0.365470800583542
2,19_AA,2,5.000000000000000,5000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,60.260225545985527,0.223286870571130
3,19_BB,3,4.000000000000000,4000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,60.758633942157026,0.241849219886165
4,19_E,4,3.000000000000000,3000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,66.622729261459412,0.469348829589987
5,19_F,5,5.000000000000000,5000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,60.965632166405840,0.180027456757817
6,19_J,6,6.000000000000000,6000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,60.359173343616142,0.961887508606395
7,19_K,7,4.000000000000000,4000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,59.877925868188299,0.260187306304939
8,19_M,8,6.000000000000000,6000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,69.188872573798321,0.589768968096888
9,19_N,9,4.000000000000000,4000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,67.092666983599742,0.471931942334930
10,19_O,10,4.000000000000000,4000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,58.339011820245545,0.153561187052040
11,19_P,11,5.000000000000000,5000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,68.765411573824565,0.219298585768535
12,19_T,12,5.000000000000000,5000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,68.140564808721891,0.268198620323645
13,19_V,13,4.000000000000000,4000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,67.305888610344198,0.285535765838498
14,19_W,14,4.000000000000000,4000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,56.880174910267684,0.500178917342226
15,19_X_A,15,4.000000000000000,4000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,54.368417142496121,0.573152160037872
16,19_X_B,16,4.000000000000000,4000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,58.859289009596026,0.771663021090474
17,19_Y,17,4.000000000000000,4000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,73.731395870267647,0.282220463337408
18,19_Z,18,5.000000000000000,5000000.000000000000000,sun,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,60.021165922427627,0.723798637157063
19,19_A,1,4.000000000000000,4000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,113.053730918394365,0.561911848240867
20,19_AA,2,5.000000000000000,5000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,88.687713551062387,0.517963113930272
21,19_BB,3,4.000000000000000,4000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,90.527171593973634,0.572356815892389
22,19_E,4,3.000000000000000,3000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,105.448835302782015,0.525467097029762
23,19_F,5,5.000000000000000,5000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,77.612291719584618,0.210726948165386
24,19_J,6,6.000000000000000,6000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,117.842731053657843,0.846327180732569
25,19_K,7,4.000000000000000,4000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,86.579429427893075,0.208552174528174
26,19_M,8,6.000000000000000,6000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,129.243284795084179,0.670000085044585
27,19_N,9,4.000000000000000,4000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,127.167649329928835,0.441890716994198
28,19_O,10,4.000000000000000,4000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,111.448782214044826,0.252202157215816
29,19_P,11,5.000000000000000,5000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,89.607213323976765,0.227774674437190
30,19_T,12,5.000000000000000,5000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,96.120843368237715,0.135371776291311
31,19_V,13,4.000000000000000,4000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,96.019123246404320,0.088488414761354
32,19_W,14,4.000000000000000,4000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,88.368697584977980,0.147447348652665
33,19_X_A,15,4.000000000000000,4000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,87.865336822611738,0.501233822603003
34,19_X_B,16,4.000000000000000,4000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,105.264318003522092,0.975788435236077
35,19_Y,17,4.000000000000000,4000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,94.341991548763204,0.454555326692776
36,19_Z,18,5.000000000000000,5000000.000000000000000,sun,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,117.464381685059507,0.608599902143057
37,19_A,1,4.000000000000000,4000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,73.374885603677455,0.294266192912468
38,19_AA,2,5.000000000000000,5000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,88.422631896653485,0.337186334944131
39,19_BB,3,4.000000000000000,4000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,88.318924123511707,0.293694003974507
40,19_E,4,3.000000000000000,3000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,74.002084658351990,0.467900695668565
41,19_F,5,5.000000000000000,5000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,85.022323928385305,0.149415007806873
42,19_J,6,6.000000000000000,6000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,97.370425640476057,0.910962199554176
43,19_K,7,4.000000000000000,4000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,78.071740694515142,0.191372232032585
