OID_,FieldName,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN,STD
1,19_A,1,4.000000000000000,4000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.992323547848765,0.032270873520136
2,19_AA,2,5.000000000000000,5000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,2.468395343414765,0.067715851227984
3,19_BB,3,4.000000000000000,4000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,2.603931126880000,0.017269309649618
4,19_E,4,3.000000000000000,3000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.655706626044800,0.082941118340960
5,19_F,5,5.000000000000000,5000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,4.584307562987909,0.053039124952208
6,19_J,6,6.000000000000000,6000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,3.269158826582250,0.100259206606759
7,19_K,7,4.000000000000000,4000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.275750737301576,0.014620040592064
8,19_M,8,6.000000000000000,6000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,2.590163748719522,0.105992867981789
9,19_N,9,4.000000000000000,4000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,2.316395887101360,0.075078334265028
10,19_O,10,4.000000000000000,4000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,2.267449788196541,0.193028983803979
11,19_P,11,5.000000000000000,5000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,4.420888715588796,0.049814161750687
12,19_T,12,5.000000000000000,5000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,2.047950652871862,0.059017207144738
13,19_V,13,4.000000000000000,4000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,2.185841957663951,0.040210697760934
14,19_W,14,4.000000000000000,4000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,3.513242244368974,0.036445193441038
15,19_X_A,15,4.000000000000000,4000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,3.210531781716287,0.106010801404789
16,19_X_B,16,4.000000000000000,4000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,2.789552738627716,0.142771000089300
17,19_Y,17,4.000000000000000,4000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,3.022144827389252,0.130018719764975
18,19_Z,18,5.000000000000000,5000000.000000000000000,tas,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,3.209890805272789,0.086974390685578
19,19_A,1,4.000000000000000,4000000.000000000000000,tas,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,3.070815201181036,0.040361219938575
20,19_AA,2,5.000000000000000,5000000.000000000000000,tas,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,1.927599123443081,0.074244140142634
21,19_BB,3,4.000000000000000,4000000.000000000000000,tas,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,2.051296898178911,0.019626349630539
22,19_E,4,3.000000000000000,3000000.000000000000000,tas,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,2.737439685017282,0.091250415164044
23,19_F,5,5.000000000000000,5000000.000000000000000,tas,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,2.413552317886996,0.063099533530238
24,19_J,6,6.000000000000000,6000000.000000000000000,tas,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,2.579704247072495,0.111978355035786
