OID_,FieldName,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN,STD
1,19_A,1,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,9.219710943807545,0.042691780222590
2,19_AA,2,5.000000000000000,5000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.546427757647570,0.062811018500015
3,19_BB,3,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.689216327535591,0.018936583129400
4,19_E,4,3.000000000000000,3000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,8.584520117834009,0.095995749996474
5,19_F,5,5.000000000000000,5000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,7.091700948804668,0.064715047298280
6,19_J,6,6.000000000000000,6000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.872716783123213,0.131110260942015
7,19_K,7,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,7.992833312825107,0.012000267415552
8,19_M,8,6.000000000000000,6000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.438932085551533,0.105079438642340
9,19_N,9,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.233088833092742,0.077271787907956
10,19_O,10,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,4.906839610841280,0.229537649363424
11,19_P,11,5.000000000000000,5000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,6.517664575659849,0.070813206065160
12,19_T,12,5.000000000000000,5000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.051009608215091,0.055882851508251
13,19_V,13,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.149179982613960,0.027178194270785
14,19_W,14,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.938064493411732,0.016096077630536
15,19_X_A,15,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.547837137666511,0.122624613205283
16,19_X_B,16,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.252418115433047,0.206965196226976
17,19_Y,17,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.421751445063189,0.147928699349338
18,19_Z,18,5.000000000000000,5000000.000000000000000,tasmax,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.793493816687923,0.107990296491626
19,19_A,1,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,6.534192366892066,0.054908824976182
20,19_AA,2,5.000000000000000,5000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,5.080405202769656,0.069560779421003
21,19_BB,3,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,5.246531839137734,0.024006442646597
22,19_E,4,3.000000000000000,3000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,5.644197864039564,0.102355194366828
23,19_F,5,5.000000000000000,5000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,5.345218058511623,0.078147642780241
24,19_J,6,6.000000000000000,6000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,5.915180835987407,0.137980844227574
25,19_K,7,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,6.100983377471172,0.009562199691413
26,19_M,8,6.000000000000000,6000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,5.914639940370479,0.115030375251659
27,19_N,9,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,5.731971671956351,0.089236293811260
28,19_O,10,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,4.878387900737661,0.251910446699851
29,19_P,11,5.000000000000000,5000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,5.296615515979699,0.092626935629999
30,19_T,12,5.000000000000000,5000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,4.851838280855043,0.067339613524008
31,19_V,13,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,4.910290798052177,0.043707667803339
32,19_W,14,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,4.866525529609449,0.027984319214509
33,19_X_A,15,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,4.569960706528076,0.141273917166137
34,19_X_B,16,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,4.689556169501500,0.234643362397930
35,19_Y,17,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,4.642672978860617,0.162520718345457
36,19_Z,18,5.000000000000000,5000000.000000000000000,tasmax,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,5.836057911023377,0.114264618939303
37,19_A,1,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,9.202935199324781,0.059454248738174
38,19_AA,2,5.000000000000000,5000000.000000000000000,tasmax,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,6.089353071177104,0.081114329752782
39,19_BB,3,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,6.278256980383793,0.022162089012566
40,19_E,4,3.000000000000000,3000000.000000000000000,tasmax,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,8.375207120937208,0.098466624306238
41,19_F,5,5.000000000000000,5000000.000000000000000,tasmax,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,7.567013858543378,0.082962150906072
42,19_J,6,6.000000000000000,6000000.000000000000000,tasmax,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,6.676641452986180,0.138100545168351
43,19_K,7,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,8.514065575451607,0.012134311165382
44,19_M,8,6.000000000000000,6000000.000000000000000,tasmax,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,6.822042238420295,0.104770742056136
45,19_N,9,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,6.733125322373504,0.085525103656626
46,19_O,10,4.000000000000000,4000000.000000000000000,tasmax,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,5.711352578203343,0.247615750341634
47,19_P,11,5.000000000000000,5000000.000000000000000,tasmax,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,6.802076530513069,0.106340824925482
