OID_,FieldName,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN,STD
1,19_A,1,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,2.800510402755374,0.051187876264781
2,19_AA,2,5.000000000000000,5000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,-0.544248041213665,0.066678236171018
3,19_BB,3,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,-0.483593229863054,0.031529818820770
4,19_E,4,3.000000000000000,3000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,2.786421216556481,0.067517669538696
5,19_F,5,5.000000000000000,5000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,2.113130501682358,0.040314661111800
6,19_J,6,6.000000000000000,6000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,0.680466509258700,0.073620696253523
7,19_K,7,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,2.625647726454297,0.019379296153721
8,19_M,8,6.000000000000000,6000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,-0.235422598019851,0.106438553948872
9,19_N,9,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,-0.564998388304872,0.070214229164253
10,19_O,10,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,-0.342934244923610,0.149505271912657
11,19_P,11,5.000000000000000,5000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,2.251828666843982,0.047128378104743
12,19_T,12,5.000000000000000,5000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,-0.900799695758240,0.078459645251607
13,19_V,13,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,-0.708748772742300,0.074313440370051
14,19_W,14,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,1.192485680141938,0.041453989643663
15,19_X_A,15,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,0.806491230662483,0.077560092417649
16,19_X_B,16,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,0.263328957167302,0.076224589876618
17,19_Y,17,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,0.612819258909536,0.109124570493573
18,19_Z,18,5.000000000000000,5000000.000000000000000,tasmin,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,0.640853652617768,0.066627475621652
19,19_A,1,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,-0.376762590352368,0.055793436769014
20,19_AA,2,5.000000000000000,5000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,-1.093368710152600,0.068214101341116
21,19_BB,3,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,-1.018084214227670,0.034088643644870
22,19_E,4,3.000000000000000,3000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,-0.214451640375002,0.077346232166308
23,19_F,5,5.000000000000000,5000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,-0.552313527324474,0.046727026701093
24,19_J,6,6.000000000000000,6000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,-0.721343749101362,0.088262719226235
25,19_K,7,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,0.066658785553339,0.016921554877772
26,19_M,8,6.000000000000000,6000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,-0.741949090499711,0.108378498926169
27,19_N,9,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,-1.052884469226187,0.085178149127878
28,19_O,10,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,-0.962825092196510,0.182286223104283
29,19_P,11,5.000000000000000,5000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,0.491368435425174,0.045923830210302
30,19_T,12,5.000000000000000,5000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,-1.018783296262683,0.066152924414447
31,19_V,13,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,-0.864114421569904,0.054176039355690
32,19_W,14,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,-0.848492561403411,0.050199963066779
33,19_X_A,15,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,-1.092026710504493,0.088820126725188
34,19_X_B,16,4.000000000000000,4000000.000000000000000,tasmin,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,-1.352771360871960,0.097390073884036
