OID_,FieldName,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN,STD
1,19_A,1,4.000000000000000,4000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,3.715247890440130,0.109903196185562
2,19_AA,2,5.000000000000000,5000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,3.601742493412353,0.088991998406037
3,19_BB,3,4.000000000000000,4000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,3.469243366948107,0.024301519130838
4,19_E,4,3.000000000000000,3000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.212729389918328,0.179290317071528
5,19_F,5,5.000000000000000,5000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.241287425451098,0.132815261051666
6,19_J,6,6.000000000000000,6000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,4.292322628146153,0.099244301582105
7,19_K,7,4.000000000000000,4000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,4.801159152678681,0.007589256629792
8,19_M,8,6.000000000000000,6000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,4.024864915280029,0.148269114057911
9,19_N,9,4.000000000000000,4000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,3.514284940217224,0.111251260957744
10,19_O,10,4.000000000000000,4000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,3.958766880405009,0.306755789284834
11,19_P,11,5.000000000000000,5000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,4.174043212199791,0.178670670735377
12,19_T,12,5.000000000000000,5000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,4.730115018217808,0.111716585674871
13,19_V,13,4.000000000000000,4000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,4.494927526011248,0.025847011504254
14,19_W,14,4.000000000000000,4000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,3.699567029149244,0.057500508718638
15,19_X_A,15,4.000000000000000,4000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,3.758551692969374,0.196114601130053
16,19_X_B,16,4.000000000000000,4000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,4.827601215670107,0.317993433492105
17,19_Y,17,4.000000000000000,4000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,5.452366222934105,0.226449118240107
18,19_Z,18,5.000000000000000,5000000.000000000000000,sfcWind,StdTime,01/01/2018 00:00:00,01/02/2018 00:00:00,4.347845448455434,0.094475361675295
19,19_A,1,4.000000000000000,4000000.000000000000000,sfcWind,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,3.213729380592120,0.104144026440956
20,19_AA,2,5.000000000000000,5000000.000000000000000,sfcWind,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,3.581128373561402,0.091876393811551
21,19_BB,3,4.000000000000000,4000000.000000000000000,sfcWind,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,3.477470899570899,0.033232329530963
22,19_E,4,3.000000000000000,3000000.000000000000000,sfcWind,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,4.822615889029730,0.164702866698170
23,19_F,5,5.000000000000000,5000000.000000000000000,sfcWind,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,4.366354695247765,0.130413820585417
24,19_J,6,6.000000000000000,6000000.000000000000000,sfcWind,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,3.673222542385695,0.107679949165647
25,19_K,7,4.000000000000000,4000000.000000000000000,sfcWind,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,4.076366765429695,0.005968673684335
26,19_M,8,6.000000000000000,6000000.000000000000000,sfcWind,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,3.982732212645969,0.147089698868509
27,19_N,9,4.000000000000000,4000000.000000000000000,sfcWind,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,3.531326302435239,0.116445344669866
28,19_O,10,4.000000000000000,4000000.000000000000000,sfcWind,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,4.273421346177769,0.398161462020812
29,19_P,11,5.000000000000000,5000000.000000000000000,sfcWind,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,4.175659944939150,0.198058752193132
30,19_T,12,5.000000000000000,5000000.000000000000000,sfcWind,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,5.192021540153596,0.147737695079551
